cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
Epoch: 1, Mini-Batches Processed: 44000, Loss: 0.38628
Epoch: 1, Mini-Batches Processed: 44500, Loss: 0.39673
Epoch: 1, Mini-Batches Processed: 45000, Loss: 0.39523
Epoch: 1, Mini-Batches Processed: 45500, Loss: 0.38209
Epoch: 1, Mini-Batches Processed: 46000, Loss: 0.38724
Epoch: 1, Mini-Batches Processed: 46500, Loss: 0.38302
Epoch: 1, Mini-Batches Processed: 47000, Loss: 0.3893
Epoch: 1, Mini-Batches Processed: 47500, Loss: 0.38113
Epoch: 1, Mini-Batches Processed: 48000, Loss: 0.38463
Epoch: 1, Mini-Batches Processed: 48500, Loss: 0.38539
Epoch: 1, Mini-Batches Processed: 49000, Loss: 0.37433
Epoch: 1, Mini-Batches Processed: 49500, Loss: 0.39064
Epoch: 1, Mini-Batches Processed: 50000, Loss: 0.37957
Epoch: 1, Mini-Batches Processed: 50500, Loss: 0.39189
Epoch: 1, Mini-Batches Processed: 51000, Loss: 0.38991
Epoch: 1, Mini-Batches Processed: 51500, Loss: 0.38722
Epoch: 1, Mini-Batches Processed: 52000, Loss: 0.38755
Epoch: 1, Mini-Batches Processed: 52500, Loss: 0.38457
Epoch: 1, Mini-Batches Processed: 53000, Loss: 0.37511
Epoch: 1, Mini-Batches Processed: 53500, Loss: 0.38391
Epoch: 1, Mini-Batches Processed: 54000, Loss: 0.38796
Epoch: 1, Mini-Batches Processed: 54500, Loss: 0.38152
Epoch: 1, Mini-Batches Processed: 55000, Loss: 0.37481
Epoch: 1, Mini-Batches Processed: 55500, Loss: 0.38648
Epoch: 1, Mini-Batches Processed: 56000, Loss: 0.38252
Epoch: 1, Mini-Batches Processed: 56500, Loss: 0.39343
Epoch: 1, Mini-Batches Processed: 57000, Loss: 0.37784
Epoch: 1, Mini-Batches Processed: 57500, Loss: 0.37156
Epoch: 1, Mini-Batches Processed: 58000, Loss: 0.38186
