cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
Epoch: 1, Mini-Batches Processed: 44000, Loss: 0.35826
Epoch: 1, Mini-Batches Processed: 44500, Loss: 0.35647
Epoch: 1, Mini-Batches Processed: 45000, Loss: 0.37283
Epoch: 1, Mini-Batches Processed: 45500, Loss: 0.36914
Epoch: 1, Mini-Batches Processed: 46000, Loss: 0.36411
Epoch: 1, Mini-Batches Processed: 46500, Loss: 0.35874
Epoch: 1, Mini-Batches Processed: 47000, Loss: 0.36011
Epoch: 1, Mini-Batches Processed: 47500, Loss: 0.36306
Epoch: 1, Mini-Batches Processed: 48000, Loss: 0.36437
Epoch: 1, Mini-Batches Processed: 48500, Loss: 0.35958
Epoch: 1, Mini-Batches Processed: 49000, Loss: 0.36795
Epoch: 1, Mini-Batches Processed: 49500, Loss: 0.35807
Epoch: 1, Mini-Batches Processed: 50000, Loss: 0.35634
Epoch: 1, Mini-Batches Processed: 50500, Loss: 0.36304
Epoch: 1, Mini-Batches Processed: 51000, Loss: 0.36627
Epoch: 1, Mini-Batches Processed: 51500, Loss: 0.35959
Epoch: 1, Mini-Batches Processed: 52000, Loss: 0.35199
Epoch: 1, Mini-Batches Processed: 52500, Loss: 0.33587
Epoch: 1, Mini-Batches Processed: 53000, Loss: 0.36759
Epoch: 1, Mini-Batches Processed: 53500, Loss: 0.34519
Epoch: 1, Mini-Batches Processed: 54000, Loss: 0.34894
Epoch: 1, Mini-Batches Processed: 54500, Loss: 0.35719
Epoch: 1, Mini-Batches Processed: 55000, Loss: 0.3542
Epoch: 1, Mini-Batches Processed: 55500, Loss: 0.34827
Epoch: 1, Mini-Batches Processed: 56000, Loss: 0.34885
Epoch: 1, Mini-Batches Processed: 56500, Loss: 0.35363
Epoch: 1, Mini-Batches Processed: 57000, Loss: 0.3501
Epoch: 1, Mini-Batches Processed: 57500, Loss: 0.3576
Epoch: 1, Mini-Batches Processed: 58000, Loss: 0.35531
Epoch: 1, Mini-Batches Processed: 58500, Loss: 0.36067
Epoch: 1, Mini-Batches Processed: 59000, Loss: 0.33841
Epoch: 1, Mini-Batches Processed: 59500, Loss: 0.34928
Epoch: 1, Mini-Batches Processed: 60000, Loss: 0.34325
Epoch: 1, Mini-Batches Processed: 60500, Loss: 0.33919
Epoch: 1, Mini-Batches Processed: 61000, Loss: 0.35107
Epoch: 1, Mini-Batches Processed: 61500, Loss: 0.34271
Epoch: 1, Mini-Batches Processed: 62000, Loss: 0.3374
Epoch: 1, Mini-Batches Processed: 62500, Loss: 0.34304
Epoch: 1, Mini-Batches Processed: 63000, Loss: 0.34753
Epoch: 1, Mini-Batches Processed: 63500, Loss: 0.34305
Epoch: 1, Mini-Batches Processed: 64000, Loss: 0.34615
Epoch: 1, Mini-Batches Processed: 64500, Loss: 0.33885
Epoch: 1, Mini-Batches Processed: 65000, Loss: 0.35233
Epoch: 1, Mini-Batches Processed: 65500, Loss: 0.33511
Epoch: 1, Mini-Batches Processed: 66000, Loss: 0.34242
Epoch: 1, Mini-Batches Processed: 66500, Loss: 0.33384
Epoch: 1, Mini-Batches Processed: 67000, Loss: 0.33221
Epoch: 1, Mini-Batches Processed: 67500, Loss: 0.33986
Epoch: 1, Mini-Batches Processed: 68000, Loss: 0.33909
Epoch: 1, Mini-Batches Processed: 68500, Loss: 0.3401
Epoch: 1, Mini-Batches Processed: 69000, Loss: 0.33501
Epoch: 1, Mini-Batches Processed: 69500, Loss: 0.33341
Epoch: 1, Mini-Batches Processed: 70000, Loss: 0.33778
Epoch: 1, Mini-Batches Processed: 70500, Loss: 0.35038
Epoch: 1, Mini-Batches Processed: 71000, Loss: 0.3338
Epoch: 1, Mini-Batches Processed: 71500, Loss: 0.33137
Epoch: 1, Mini-Batches Processed: 72000, Loss: 0.32914
Epoch: 1, Mini-Batches Processed: 72500, Loss: 0.32613
Epoch: 1, Mini-Batches Processed: 73000, Loss: 0.32629
Epoch: 1, Mini-Batches Processed: 73500, Loss: 0.34294
Epoch: 1, Mini-Batches Processed: 74000, Loss: 0.32999
Epoch: 1, Mini-Batches Processed: 74500, Loss: 0.33494
Epoch: 1, Mini-Batches Processed: 75000, Loss: 0.32913
Epoch: 1, Mini-Batches Processed: 75500, Loss: 0.33174
Epoch: 1, Mini-Batches Processed: 76000, Loss: 0.33745
Epoch: 1, Mini-Batches Processed: 76500, Loss: 0.32274
Epoch: 1, Mini-Batches Processed: 77000, Loss: 0.32586
Epoch: 1, Mini-Batches Processed: 77500, Loss: 0.32861
Epoch: 1, Mini-Batches Processed: 78000, Loss: 0.33568
Epoch: 1, Mini-Batches Processed: 78500, Loss: 0.32299
Epoch: 1, Mini-Batches Processed: 79000, Loss: 0.32561
Epoch: 1, Mini-Batches Processed: 79500, Loss: 0.31346
Epoch: 1, Mini-Batches Processed: 80000, Loss: 0.32557
Epoch: 1, Mini-Batches Processed: 80500, Loss: 0.32292
Epoch: 1, Mini-Batches Processed: 81000, Loss: 0.32937
Epoch: 1, Mini-Batches Processed: 81500, Loss: 0.31636
Epoch: 1, Mini-Batches Processed: 82000, Loss: 0.32034
Epoch: 1, Mini-Batches Processed: 82500, Loss: 0.31862
Epoch: 1, Mini-Batches Processed: 83000, Loss: 0.31999
Epoch: 1, Mini-Batches Processed: 83500, Loss: 0.32727
Epoch: 1, Mini-Batches Processed: 84000, Loss: 0.32013
Epoch: 1, Mini-Batches Processed: 84500, Loss: 0.31822
Epoch: 1, Mini-Batches Processed: 85000, Loss: 0.32471
Epoch: 1, Mini-Batches Processed: 85500, Loss: 0.31711
Epoch: 1, Mini-Batches Processed: 86000, Loss: 0.31954
Epoch: 1, Mini-Batches Processed: 86500, Loss: 0.31822
Epoch: 1, Mini-Batches Processed: 87000, Loss: 0.32319
Epoch: 1, Mini-Batches Processed: 87500, Loss: 0.33585
Epoch: 1, Mini-Batches Processed: 88000, Loss: 0.31353
Epoch: 1, Mini-Batches Processed: 88500, Loss: 0.32568
Epoch: 1, Mini-Batches Processed: 89000, Loss: 0.31679
Epoch: 1, Mini-Batches Processed: 89500, Loss: 0.33039
Epoch: 1, Mini-Batches Processed: 90000, Loss: 0.30871
Epoch: 1, Mini-Batches Processed: 90500, Loss: 0.33284
Epoch: 1, Mini-Batches Processed: 91000, Loss: 0.31119
Epoch: 1, Mini-Batches Processed: 91500, Loss: 0.31843
Epoch: 1, Mini-Batches Processed: 92000, Loss: 0.31802
Epoch: 1, Mini-Batches Processed: 92500, Loss: 0.32844
Epoch: 1, Mini-Batches Processed: 93000, Loss: 0.31842
Epoch: 1, Mini-Batches Processed: 93500, Loss: 0.31394
Epoch: 1, Mini-Batches Processed: 94000, Loss: 0.32458
Epoch: 1, Mini-Batches Processed: 94500, Loss: 0.31294
Epoch: 1, Mini-Batches Processed: 95000, Loss: 0.30707
Epoch: 1, Mini-Batches Processed: 95500, Loss: 0.31788
Epoch: 1, Mini-Batches Processed: 96000, Loss: 0.31865
Epoch: 1, Mini-Batches Processed: 96500, Loss: 0.31709
Epoch: 1, Mini-Batches Processed: 97000, Loss: 0.32157
Epoch: 1, Mini-Batches Processed: 97500, Loss: 0.32381
Epoch: 1, Mini-Batches Processed: 98000, Loss: 0.3113
Epoch: 1, Mini-Batches Processed: 98500, Loss: 0.32845
Epoch: 1, Mini-Batches Processed: 99000, Loss: 0.30231
Epoch: 1, Mini-Batches Processed: 99500, Loss: 0.31091
Epoch: 1, Mini-Batches Processed: 100000, Loss: 0.3079
[TIMER] Process Time so far: 252.97 seconds
Starting validation...
[TRAINING] 229864 out of 400000
[VALIDATION] 5710 out of 10000
[TIMER] Process Time so far: 367.024 seconds
Beginning Epoch 2...
Epoch: 2, Mini-Batches Processed:   500, Loss: 0.3206
Epoch: 2, Mini-Batches Processed:  1000, Loss: 0.31412
Epoch: 2, Mini-Batches Processed:  1500, Loss: 0.30976
Epoch: 2, Mini-Batches Processed:  2000, Loss: 0.30168
Epoch: 2, Mini-Batches Processed:  2500, Loss: 0.32295
Epoch: 2, Mini-Batches Processed:  3000, Loss: 0.31175
Epoch: 2, Mini-Batches Processed:  3500, Loss: 0.31007
Epoch: 2, Mini-Batches Processed:  4000, Loss: 0.30481
Epoch: 2, Mini-Batches Processed:  4500, Loss: 0.305
Epoch: 2, Mini-Batches Processed:  5000, Loss: 0.30683
Epoch: 2, Mini-Batches Processed:  5500, Loss: 0.30401
Epoch: 2, Mini-Batches Processed:  6000, Loss: 0.3097
Epoch: 2, Mini-Batches Processed:  6500, Loss: 0.31382
Epoch: 2, Mini-Batches Processed:  7000, Loss: 0.31377
Epoch: 2, Mini-Batches Processed:  7500, Loss: 0.32591
Epoch: 2, Mini-Batches Processed:  8000, Loss: 0.31242
Epoch: 2, Mini-Batches Processed:  8500, Loss: 0.298
Epoch: 2, Mini-Batches Processed:  9000, Loss: 0.31264
Epoch: 2, Mini-Batches Processed:  9500, Loss: 0.30979
Epoch: 2, Mini-Batches Processed: 10000, Loss: 0.30206
Epoch: 2, Mini-Batches Processed: 10500, Loss: 0.30824
Epoch: 2, Mini-Batches Processed: 11000, Loss: 0.30233
Epoch: 2, Mini-Batches Processed: 11500, Loss: 0.31082
Epoch: 2, Mini-Batches Processed: 12000, Loss: 0.31377
Epoch: 2, Mini-Batches Processed: 12500, Loss: 0.32052
