cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
Epoch: 2, Mini-Batches Processed:  5000, Loss: 0.36005
Epoch: 2, Mini-Batches Processed:  5500, Loss: 0.36001
Epoch: 2, Mini-Batches Processed:  6000, Loss: 0.35614
Epoch: 2, Mini-Batches Processed:  6500, Loss: 0.35853
Epoch: 2, Mini-Batches Processed:  7000, Loss: 0.35499
Epoch: 2, Mini-Batches Processed:  7500, Loss: 0.35828
Epoch: 2, Mini-Batches Processed:  8000, Loss: 0.34695
Epoch: 2, Mini-Batches Processed:  8500, Loss: 0.3612
Epoch: 2, Mini-Batches Processed:  9000, Loss: 0.35874
Epoch: 2, Mini-Batches Processed:  9500, Loss: 0.35352
Epoch: 2, Mini-Batches Processed: 10000, Loss: 0.36275
Epoch: 2, Mini-Batches Processed: 10500, Loss: 0.36048
Epoch: 2, Mini-Batches Processed: 11000, Loss: 0.3551
Epoch: 2, Mini-Batches Processed: 11500, Loss: 0.35234
Epoch: 2, Mini-Batches Processed: 12000, Loss: 0.35334
Epoch: 2, Mini-Batches Processed: 12500, Loss: 0.35636
Epoch: 2, Mini-Batches Processed: 13000, Loss: 0.34483
Epoch: 2, Mini-Batches Processed: 13500, Loss: 0.34873
Epoch: 2, Mini-Batches Processed: 14000, Loss: 0.35765
Epoch: 2, Mini-Batches Processed: 14500, Loss: 0.34999
Epoch: 2, Mini-Batches Processed: 15000, Loss: 0.35579
Epoch: 2, Mini-Batches Processed: 15500, Loss: 0.36139
Epoch: 2, Mini-Batches Processed: 16000, Loss: 0.35337
Epoch: 2, Mini-Batches Processed: 16500, Loss: 0.35469
Epoch: 2, Mini-Batches Processed: 17000, Loss: 0.34379
Epoch: 2, Mini-Batches Processed: 17500, Loss: 0.356
Epoch: 2, Mini-Batches Processed: 18000, Loss: 0.35564
Epoch: 2, Mini-Batches Processed: 18500, Loss: 0.35334
Epoch: 2, Mini-Batches Processed: 19000, Loss: 0.33919
Epoch: 2, Mini-Batches Processed: 19500, Loss: 0.34967
Epoch: 2, Mini-Batches Processed: 20000, Loss: 0.36082
Epoch: 2, Mini-Batches Processed: 20500, Loss: 0.34467
Epoch: 2, Mini-Batches Processed: 21000, Loss: 0.35704
Epoch: 2, Mini-Batches Processed: 21500, Loss: 0.35752
Epoch: 2, Mini-Batches Processed: 22000, Loss: 0.34312
Epoch: 2, Mini-Batches Processed: 22500, Loss: 0.35001
Epoch: 2, Mini-Batches Processed: 23000, Loss: 0.34205
Epoch: 2, Mini-Batches Processed: 23500, Loss: 0.34703
Epoch: 2, Mini-Batches Processed: 24000, Loss: 0.35197
Epoch: 2, Mini-Batches Processed: 24500, Loss: 0.33857
Epoch: 2, Mini-Batches Processed: 25000, Loss: 0.35266
Epoch: 2, Mini-Batches Processed: 25500, Loss: 0.33812
Epoch: 2, Mini-Batches Processed: 26000, Loss: 0.34263
Epoch: 2, Mini-Batches Processed: 26500, Loss: 0.34452
Epoch: 2, Mini-Batches Processed: 27000, Loss: 0.35483
Epoch: 2, Mini-Batches Processed: 27500, Loss: 0.34956
Epoch: 2, Mini-Batches Processed: 28000, Loss: 0.35023
Epoch: 2, Mini-Batches Processed: 28500, Loss: 0.33998
Epoch: 2, Mini-Batches Processed: 29000, Loss: 0.35049
Epoch: 2, Mini-Batches Processed: 29500, Loss: 0.3474
Epoch: 2, Mini-Batches Processed: 30000, Loss: 0.34292
Epoch: 2, Mini-Batches Processed: 30500, Loss: 0.33517
Epoch: 2, Mini-Batches Processed: 31000, Loss: 0.34512
Epoch: 2, Mini-Batches Processed: 31500, Loss: 0.34456
Epoch: 2, Mini-Batches Processed: 32000, Loss: 0.34729
Epoch: 2, Mini-Batches Processed: 32500, Loss: 0.34893
Epoch: 2, Mini-Batches Processed: 33000, Loss: 0.3501
Epoch: 2, Mini-Batches Processed: 33500, Loss: 0.34105
Epoch: 2, Mini-Batches Processed: 34000, Loss: 0.34232
Epoch: 2, Mini-Batches Processed: 34500, Loss: 0.33204
Epoch: 2, Mini-Batches Processed: 35000, Loss: 0.33813
Epoch: 2, Mini-Batches Processed: 35500, Loss: 0.34141
